"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","LLC_BI__Budget__c","LLC_BI__Amount_Budgeted__c","LLC_BI__Description__c","LLC_BI__Notes__c","LLC_BI__Order__c","LLC_BI__Pending_Amount__c","LLC_BI__Percent_Budgeted__c","LLC_BI__Percent_Disbursed__c","LLC_BI__Percent_Remaining_Disbursement__c","LLC_BI__Percent_of_Budget__c","LLC_BI__Remaining_Disbursement__c","LLC_BI__Template_Percent_of_Budget__c","LLC_BI__Total_Disbursed_Amount__c","LLC_BI__lookupKey__c","LLC_BI__Category__c"
"a2379000000cDhzAAE","false","CLA-BD-0008194","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1I2AAK","","Appraisal","","4.0","","","0.0","","0.0","0.0","","","vpqtnbyvicbhzabfcz","Soft cost"
"a2379000000cDi0AAE","false","CLA-BD-0008195","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1I3AAK","150000.0","Drywall","","200.0","","","0.0","100.0","10.0","150000.0","","","vsxc3iea4muglnp4y9",""
"a2379000000cDi1AAE","false","CLA-BD-0008196","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IHAA0","105000.0","Roof Shingles","","120.0","","","0.0","100.0","7.0","105000.0","","","vx96fiigyi3lgga3ss",""
"a2379000000cDi2AAE","false","CLA-BD-0008197","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IOAA0","","Stairs","","110.0","","","0.0","","","0.0","","","vxz7co37jndn234o87","Hard cost"
"a2379000000cDi3AAE","false","CLA-BD-0008198","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IIAA0","850.0","Surveys","","11.0","0.0","","64.7059","35.2941","0.034","300.0","","550.0","w44l82oy92m0esqr8h",""
"a2379000000cDi4AAE","false","CLA-BD-0008199","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IPAA0","","Contingency - Soft Costs","","11.0","","","0.0","","","0.0","","","w6jqnq9bee5lhf6ky6","Soft cost"
"a2379000000cDi5AAE","false","CLA-BD-0008200","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1I3AAK","8050.0","Stairs","","110.0","","","0.0","100.0","0.5367","8050.0","","","w9nbkd3ifjt2bspo7h",""
"a2379000000cDi6AAE","false","CLA-BD-0008201","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1INAA0","","Shingles","","211.0","","","0.0","","","0.0","","","wd5zkq4ud0uimia19v","Hard cost"
"a2379000000cDi7AAE","false","CLA-BD-0008202","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IMAA0","","Siding","","130.0","","","0.0","","0.0","0.0","","","werzcxozmqrv7amu1v","Hard cost"
"a2379000000cDi8AAE","false","CLA-BD-0008203","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1ILAA0","","Steel","","50.0","","","0.0","","0.0","0.0","","","wsky9ff74ag3bmvwi4",""
"a2379000000cDi9AAE","false","CLA-BD-0008204","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1I3AAK","1800.0","Insurance","","330.0","","","0.0","100.0","0.12","1800.0","","","x1zqjs1sq4qaom4k9b",""
"a2379000000cDiAAAU","false","CLA-BD-0008205","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IIAA0","1200.0","Permits / Fees","","10.0","0.0","","66.6667","33.3333","0.048","400.0","","800.0","x6ix25c7y7967ffltm",""
"a2379000000cDiBAAU","false","CLA-BD-0008206","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IJAA0","","Design Fees","","210.0","","","0.0","","","0.0","","","xctqi1vt4nua50skhl","Soft cost"
"a2379000000cDiCAAU","false","CLA-BD-0008207","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IOAA0","","Title Insurance/Recording","","7.0","","","0.0","","","0.0","","","xd9bo0bcu8tfj1x0c1","Soft cost"
"a2379000000cDiDAAU","false","CLA-BD-0008208","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IJAA0","","Foundation","","200.0","","","0.0","","","0.0","","","xm0uvu1bm6zg8tvne2","Hard cost"
"a2379000000cDiEAAU","false","CLA-BD-0008209","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IJAA0","","Sitework","","210.0","","","0.0","","","0.0","","","xq9zwbt35vrizbfstn","Hard cost"
"a2379000000cDiFAAU","false","CLA-BD-0008210","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IPAA0","","Plumbing","","150.0","","","0.0","","","0.0","","","xvwhk5bkyv314gf7ld","Hard cost"
"a2379000000cDiGAAU","false","CLA-BD-0008211","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1I2AAK","98500.0","Excavation, Foundation, and Backfill","","40.0","97800.0","","0.0","0.7107","6.5667","700.0","","0.0","xxqh3jlqon0wpqmjdl","Hard cost"
"a2379000000cDiHAAU","false","CLA-BD-0008212","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IIAA0","","Interior Doors & Hardware","","100.0","","","0.0","","0.0","0.0","","","y2ea7jzzkfxklthu35",""
"a2379000000cDiIAAU","false","CLA-BD-0008213","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IMAA0","","Furniture, Fixtures & Equipment","","9.0","","","0.0","","0.0","0.0","","","y6ek1zujtiq8i66c3x","Soft cost"
"a2379000000cDiJAAU","false","CLA-BD-0008214","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1I3AAK","150000.0","Excavation, Foundation, and Backfill","","40.0","","","0.0","100.0","10.0","150000.0","","","ya6kjya65u3vhnwuus",""
"a2379000000cDiKAAU","false","CLA-BD-0008215","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IOAA0","","Electrical","","160.0","","","0.0","","","0.0","","","yhohxfq0u6d59w3w4q","Hard cost"
"a2379000000cDiLAAU","false","CLA-BD-0008216","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IIAA0","","Painting","","210.0","","","0.0","","0.0","0.0","","","yhp936115ssq6e9hwx",""
"a2379000000cDiMAAU","false","CLA-BD-0008217","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IMAA0","","Plumbing","","150.0","","","0.0","","0.0","0.0","","","ykavwogypibcagv5un","Hard cost"
"a2379000000cDiNAAU","false","CLA-BD-0008218","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1I2AAK","","Other Costs","","3.0","","","0.0","","0.0","0.0","","","ym7od4yphlafilxo4n",""
"a2379000000cDiOAAU","false","CLA-BD-0008219","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IOAA0","","Interior Doors & Hardware","","100.0","","","0.0","","","0.0","","","yohplp8wgcmbq00mhe","Hard cost"
"a2379000000cDiPAAU","false","CLA-BD-0008220","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1INAA0","","Reserves","","300.0","","","0.0","","","0.0","","","ypgjs1kzzlj8k8e1pb","Interest reserve"
"a2379000000cDiQAAU","false","CLA-BD-0008221","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IOAA0","","Lighting Fixtures","","170.0","","","0.0","","","0.0","","","yxq2994og3bgwjr8cv","Hard cost"
"a2379000000cDiRAAU","false","CLA-BD-0008222","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IOAA0","","Excavation, Foundation, and Backfill","","40.0","","","0.0","","","0.0","","","z18vpgmb6jjyk5wh22","Hard cost"
"a2379000000cDiSAAU","false","CLA-BD-0008223","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IMAA0","75000.0","Excavation, Foundation, and Backfill","","40.0","","","0.0","100.0","5.0","75000.0","","0.0","z422hms3rha6ohl8fi","Hard cost"
"a2379000000cDiTAAU","false","CLA-BD-0008224","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1I3AAK","18000.0","Landscaping","","250.0","","","0.0","100.0","1.2","18000.0","","","z5vla4rzap7i4oy4av",""
"a2379000000cDiUAAU","false","CLA-BD-0008225","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IMAA0","","Windows","","80.0","","","0.0","","0.0","0.0","","","z6anjus44z1sb8rfav","Hard cost"
"a2379000000cDiVAAU","false","CLA-BD-0008226","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IPAA0","","Land Purchase","","10.0","","","0.0","","","0.0","","","zavzmb832n8vnkwglk","Land cost"
"a2379000000cDiWAAU","false","CLA-BD-0008227","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IPAA0","","Title Insurance/Recording","","7.0","","","0.0","","","0.0","","","zbaurvzdj6vy46wrl3","Soft cost"
"a2379000000cDiXAAU","false","CLA-BD-0008228","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1INAA0","","Millwork","","203.0","","","0.0","","","0.0","","","zcgyb2sihsutvhbfra","Hard cost"
"a2379000000cDiYAAU","false","CLA-BD-0008229","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IIAA0","3000.0","Exterior Doors","","90.0","","","0.0","100.0","0.12","3000.0","","","zec6lj666s5979a5p4",""
"a2379000000cDiZAAU","false","CLA-BD-0008230","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IPAA0","","Lighting Fixtures","","170.0","","","0.0","","","0.0","","","zj0qr9kaj3vuqntjnw","Hard cost"
"a2379000000cDiaAAE","false","CLA-BD-0008231","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1INAA0","","Landscaping","","214.0","","","0.0","","","0.0","","","zkzry0uamsyd1s68fe","Hard cost"
"a2379000000cDibAAE","false","CLA-BD-0008232","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1ILAA0","850.0","Surveys","","11.0","0.0","","88.2353","11.7647","0.0459","100.0","","750.0","zo7ykqvzehnjowaxly",""
"a2379000000cDicAAE","false","CLA-BD-0008233","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1I2AAK","850.0","Surveys","","11.0","","","0.0","100.0","0.0567","850.0","","0.0","zpjjcerze7yxn2c1r4","Soft cost"
"a2379000000cDidAAE","false","CLA-BD-0008234","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IMAA0","","Title Insurance/Recording","","7.0","","","0.0","","0.0","0.0","","","zqz6q6lc1kzksk1wgz","Soft cost"
"a2379000000cDieAAE","false","CLA-BD-0008235","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IJAA0","","Drywall","","209.0","","","0.0","","","0.0","","","zs8k9js7mus8wtrhvb","Hard cost"
"a2379000000cDifAAE","false","CLA-BD-0008236","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IQAA0","0.0","Cabinets / Millwork","","88.0","","","0.0","0.0","0.0","0.0","","","a238c000005kkfOAAQ",""
"a2379000000cDigAAE","false","CLA-BD-0008237","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IQAA0","0.0","Flooring (Rubber Floor/Silica/ Res-Tek)","","90.0","","","0.0","0.0","0.0","0.0","","","a238c000005kkfPAAQ",""
"a2379000000cDihAAE","false","CLA-BD-0008238","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IQAA0","0.0","Lighting Fixtures","","85.0","","","0.0","0.0","0.0","0.0","","","a238c000005kkfQAAQ",""
"a2379000000cDiiAAE","false","CLA-BD-0008239","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IQAA0","0.0","Corporate Decor Package Installation","","93.0","","","0.0","0.0","0.0","0.0","","","a238c000005kkfRAAQ",""
"a2379000000cDijAAE","false","CLA-BD-0008240","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IQAA0","0.0","100 ft secondary service","","84.0","","","0.0","0.0","0.0","0.0","","","a238c000005kkfSAAQ",""
"a2379000000cDikAAE","false","CLA-BD-0008241","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IQAA0","0.0","Fire Extinguishers","","87.0","","","0.0","0.0","0.0","0.0","","","a238c000005kkfTAAQ",""
"a2379000000cDilAAE","false","CLA-BD-0008242","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IQAA0","0.0","Caulking","","91.0","","","0.0","0.0","0.0","0.0","","","a238c000005kkfUAAQ",""
"a2379000000cDimAAE","false","CLA-BD-0008243","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IQAA0","0.0","Toilet Partitions","","89.0","","","0.0","0.0","0.0","0.0","","","a238c000005kkfVAAQ",""
"a2379000000cDinAAE","false","CLA-BD-0008244","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IQAA0","0.0","Roofing","","59.0","","","0.0","0.0","0.0","0.0","","","a238c000005kkfWAAQ",""
"a2379000000cDioAAE","false","CLA-BD-0008245","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IQAA0","0.0","Finish Carpentry Labor","","60.0","","","0.0","0.0","0.0","0.0","","","a238c000005kkfXAAQ",""
"a2379000000cDipAAE","false","CLA-BD-0008246","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IQAA0","0.0","Rough Carpentry Labor","","61.0","","","0.0","0.0","0.0","0.0","","","a238c000005kkfYAAQ",""
"a2379000000cDiqAAE","false","CLA-BD-0008247","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IQAA0","0.0","Rough Carpentry Material","","62.0","","","0.0","0.0","0.0","0.0","","","a238c000005kkfZAAQ",""
"a2379000000cDirAAE","false","CLA-BD-0008248","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IQAA0","0.0","Sheet Metal","","63.0","","","0.0","0.0","0.0","0.0","","","a238c000005kkfaAAA",""
"a2379000000cDisAAE","false","CLA-BD-0008249","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IQAA0","0.0","Insulation","","64.0","","","0.0","0.0","0.0","0.0","","","a238c000005kkfbAAA",""
"a2379000000cDitAAE","false","CLA-BD-0008250","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IQAA0","0.0","Glass & Glazing","","65.0","","","0.0","0.0","0.0","0.0","","","a238c000005kkfcAAA",""
"a2379000000cDiuAAE","false","CLA-BD-0008251","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IQAA0","0.0","Drywall & Metal Studs","","66.0","","","0.0","0.0","0.0","0.0","","","a238c000005kkfdAAA",""
"a2379000000cDivAAE","false","CLA-BD-0008252","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IQAA0","0.0","Acoustic Tile","","67.0","","","0.0","0.0","0.0","0.0","","","a238c000005kkfeAAA",""
"a2379000000cDiwAAE","false","CLA-BD-0008253","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IQAA0","0.0","Painting","","68.0","","","0.0","0.0","0.0","0.0","","","a238c000005kkffAAA",""
"a2379000000cDixAAE","false","CLA-BD-0008254","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IQAA0","0.0","Ceramic tile","","69.0","","","0.0","0.0","0.0","0.0","","","a238c000005kkfgAAA",""
"a2379000000cDiyAAE","false","CLA-BD-0008255","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IQAA0","0.0","EIFS / Lath & Plaster","","70.0","","","0.0","0.0","0.0","0.0","","","a238c000005kkfhAAA",""
"a2379000000cDizAAE","false","CLA-BD-0008256","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IQAA0","0.0","Misc. S.S.","","71.0","","","0.0","0.0","0.0","0.0","","","a238c000005kkfiAAA",""
"a2379000000cDj0AAE","false","CLA-BD-0008257","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IQAA0","0.0","Toilet accessories","","72.0","","","0.0","0.0","0.0","0.0","","","a238c000005kkfjAAA",""
"a2379000000cDj1AAE","false","CLA-BD-0008258","2024-08-26T16:48:38.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","0058c00000BxeO9AAJ","2024-08-26T18:10:52.000Z","","","","a2579000000V1IQAA0","0.0","GC Installed Items","","73.0","","","0.0","0.0","0.0","0.0","","","a238c000005kkfkAAA",""
